city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Kolkata,2025-01-14 01:05:12,5,4806.52,81.57,0,19.55,583.95,729.13,16.96,82,success
Bengaluru,2025-01-14 01:05:15,2,473.98,8.4,67.23,6.62,7.23,8.41,19.7,93,success
Ahmedabad,2025-01-14 01:05:17,5,627.52,6,103,8.94,89.75,97.99,13.04,76,success
Lucknow,2025-01-14 01:05:20,5,947.95,10.2,34.69,2.83,136.87,149.47,12.01,100,success
Hyderabad,2025-01-14 01:05:22,5,1001.36,28.79,63.66,25.75,121.99,137.64,17.68,88,success
Jaipur,2025-01-14 01:05:25,5,801.09,15.94,54.36,4.77,77.18,88.12,7.6,100,success
Patna,2025-01-14 01:05:27,5,1201.63,14.57,28.61,5.01,207.84,218.44,13.97,94,success
Delhi,2025-01-14 02:39:01,5,1628.88,40.78,9.74,17.41,133.63,176.66,10.06,93,success
Mumbai,2025-01-14 02:39:03,5,4432.68,83.63,0.63,79.16,350.16,432.36,24.03,60,success
Chennai,2025-01-14 02:39:05,3,560.76,12.68,74.39,6.86,36.79,54.42,25,91,success
Kolkata,2025-01-14 02:39:08,5,3898.62,58.26,4.02,26.7,498.58,647.38,17.96,82,success
Bengaluru,2025-01-14 02:39:10,1,620.84,20.74,59.37,8.11,9.94,11.75,19.09,93,success
Ahmedabad,2025-01-14 02:39:12,5,654.22,12,94.41,15.5,98.58,108.35,13.04,76,success
Lucknow,2025-01-14 02:39:14,5,1081.47,11.65,21.82,4.47,157.35,176.05,12.01,100,success
Hyderabad,2025-01-14 02:39:17,5,1548.77,56.89,34.69,38.62,127.14,146.51,18.19,94,success
Jaipur,2025-01-14 02:39:19,5,1094.82,29.82,40.77,7.99,90.24,104.04,7.6,93,success
Patna,2025-01-14 02:39:21,5,1295.09,16.11,25.39,8.23,221.54,237.48,14.97,88,success
Delhi,2025-01-14 03:14:30,5,1628.88,40.78,9.74,17.41,133.63,176.66,10.06,93,success
Mumbai,2025-01-14 03:14:32,5,4432.68,83.63,0.63,79.16,350.16,432.36,24.03,60,success
Chennai,2025-01-14 03:14:35,3,560.76,12.68,74.39,6.86,36.79,54.42,25.62,91,success
Kolkata,2025-01-14 03:14:37,5,3898.62,58.26,4.02,26.7,498.58,647.38,18.96,77,success
Bengaluru,2025-01-14 03:14:40,1,620.84,20.74,59.37,8.11,9.94,11.75,18.95,93,success
Ahmedabad,2025-01-14 03:14:42,5,654.22,12,94.41,15.5,98.58,108.35,13.04,76,success
Lucknow,2025-01-14 03:14:45,5,1081.47,11.65,21.82,4.47,157.35,176.05,12.01,100,success
Hyderabad,2025-01-14 03:14:47,5,1548.77,56.89,34.69,38.62,127.14,146.51,20.19,88,success
